year,sex,age,mx,qx,lx,dx,Lx,Tx,ex,causa
2021,f,30,0.00218276594403175,0.0108545971079005,96067.8342362513,1042.77763566306,477732.227092099,3810551.19117519,39.6652138717339,sin_homicidios
2021,f,35,0.00339316000032411,0.0168230913995735,95025.0566005882,1598.61521244135,471128.744971838,3332818.96408309,35.0730542375963,sin_homicidios
2021,f,40,0.00442532943576686,0.0218845315249708,93426.4413881469,2044.59390182472,462020.722186173,2861690.21911125,30.6304101557519,sin_homicidios
2021,f,45,0.0084142818288264,0.0412046404995845,91381.8474863221,3765.35617386177,447495.846996956,2399669.49692508,26.2598050152604,sin_homicidios
2021,f,50,0.0112918455330227,0.0549091631923251,87616.4913124604,4810.94821981483,426055.086012765,1952173.64992812,22.2808927941,sin_homicidios
2021,f,55,0.0186839424381712,0.0892508192665181,82805.5430926456,7390.46256082757,395551.559061159,1526118.56391536,18.4301498054048,sin_homicidios
2021,f,60,0.0300355696366982,0.139688768824741,75415.080531818,10534.6397503083,350738.803283319,1130567.0048542,14.9912590012711,sin_homicidios
2021,f,65,0.0417951205668262,0.189205894864582,64880.4407815097,12275.7618572741,293712.799264363,779828.201570882,12.0194652221464,sin_homicidios
2021,f,70,0.0682615005532179,0.291552905684417,52604.6789242356,15337.0469929567,224680.777138786,486115.402306519,9.24091567988945,sin_homicidios
2021,f,75,0.0985982075800436,0.395501652758007,37267.6319312789,14739.4100231979,149489.6345984,261434.625167733,7.01505868818859,sin_homicidios
2021,f,80,0.156366858969559,0.562099831967578,22528.221908081,12663.1097490606,80983.3351677534,111944.990569333,4.96910013697875,sin_homicidios
2021,f,85,0.318623537116077,1,9865.11215902036,9865.11215902036,30961.6554015795,30961.6554015795,3.138500090267,sin_homicidios
